疾病別,題目,答案,日期,提供單位
愛滋病,有關網路社群及論壇內謠傳「同婚助長台灣愛滋感染加速健保破產、今年愛滋人數創新高？開啟同婚終止愛滋健保給付？」等不實議題，疾管署澄清說明如下,"1.依據「世界經濟論壇」(WEF)世界評比，台灣屬愛滋低盛行率國家，我國愛滋防治表現於全球評比為第1名。2.依據疾管署統計資料顯示，107年新增愛滋感染人數為1,992人，是繼101年以來最低，與前一年比較，降幅達21%。3.我國自從開放外籍配偶納入愛滋公務預算補助，至今每年外籍配偶感染人數並沒有增加，放眼世界等先進國家均以公費或保險制度提供感染者適當治療，並配合相關配套措施遏止疫情蔓延。4.任何疾病的傳染並不會區分性別、性向。5.任何訊息不應涉及洩漏影射個資，若違法可依個人資料保護法、刑法等相關法規對洩漏者、散布者進行裁處。",2019/5/17,疾病管制署
愛滋病,國內愛滋醫療支出會對政府支出造成嚴重負擔，並壓縮其他疫病防治資源與預算？,"事實上，「治療即預防」已是國際上對於愛滋疫情控制的共識，政府以公務預算及健保給付愛滋藥物，其目的在於使感染者及早診治、維護健康並有效壓制病毒傳播，這是國際公認符合成本效益的疫情防治方法之一。近年來我國積極推動愛滋防治工作，去（2018）年新增感染人數為1,992人，與前一年之2,512人相比，降幅達21%，為2012年以來最低。此外，近幾年我國第一線愛滋藥物費用上限已由2012年每月每人約2萬元，降至2016年起均低於15,500元，且較與我國經濟發展相似國家的平均藥費支出來得低。",2019/3/20,疾病管制署
愛滋病,網路上流傳「服用愛滋治療藥物（俗稱雞尾酒療法）會致癌」，是真的嗎？,如果感染愛滋病毒後能及早遵醫囑服藥，會大幅減少罹患愛滋相關之伺機性感染及癌症等疾病風險。因為愛滋病毒會破壞體內之免疫系統，如果無及早就醫服藥，就可能會造成愛滋相關之伺機性感染及癌症等罹患風險增加。,2018/11/1,疾病管制署
愛滋病,外國人只要在臺灣服藥滿2年就可以由健保給付？,1.外籍人士受聘在台工作，或因就學等因素申請在台居留，並合法居留六個月以上，才能享有健保；而自106年2月4日起，外籍人士愛滋感染者確診後應自費在國內開始服藥2年後，具健保身分者，其醫療費用由健保以慢性病照護模式給付。2.事實上，外籍感染者來台免費治療愛滋，必須通過5道關卡（包括：(1)受聘在台工作，或獲得合法居留身分，(2)取得居留證明文件需居留滿6個月，(3)愛滋感染被通報列管，(4)開始治療的頭2年自付藥費，一年約20萬元，(5)在台有就醫治療紀錄），才能獲得健保給付。3.依「全民健康保險法」第1條規定，全民健保為強制性之社會保險，於保險對象在保險有效期間，發生疾病、傷害、生育事故時，依健保法規定給付。外籍人士除非是受聘來台工作，否則需領有居留證明文件且在台居留滿六個月，才能享有健保。因此，若申請居留原因不存在，自然不能參加全民健保。,2018/9/28,疾病管制署
愛滋病,網路謠傳臺灣愛滋疫情比泰國嚴重？,1.泰國愛滋感染人數推估有45萬人(盛行率1.1%)遠較臺灣約3萬人(0.2%)為高。2.每個國家對於愛滋篩檢找出感染黑數的積極程度不一，我國則是多方推動在家篩檢、匿名篩檢等計畫積極揪出感染黑數。3.世界經濟論壇(2017-2018)評比我國愛滋防治排名為最優等級。4.2018年我國愛滋新增數較2017年同期減少26%，年輕族群(15-24歲)案例下降35%。5.愛滋疫情年輕化為全球面臨的挑戰，安全性行為是防治愛滋最重要的策略之一。,2018/7/18,疾病管制署
愛滋病,為何要預備修正「捐血人健康標準」，將過去曾吸食毒品者捐血限制，由「永久不得捐血」改為「6個月內曾吸食毒品者應暫緩捐血」?,確保血品安全一直是政府重要的政策。毒品使用，主要分為吸食以及注射方式，其中注射毒品者因共用針頭、稀釋液等行為，容易感染B型肝炎、C型肝炎與愛滋等血液傳染疾病，為避免捐血傳播疾病，我國與其他先進國家一致，此次並未修正，仍將其列為永久不得捐血對象。而僅吸食但未曾注射毒品者，若現已戒除達六個月以上，體內已不會有毒品及相關代謝物，故台灣血液基金會參考國際間規範，將曾吸食毒品者之捐血限制，提案建議由「永久不得捐血」規定，比照日本作法，預備修改為6個月內暫緩捐血。,2018/7/11,疾病管制署
愛滋病,網路謠傳，同志健康中心成立與愛滋病感染人數呈正相關？,"對網路上對同志健康中心增加愛滋同志疫情的謠言，進行以下說明：1.在國際上透過以同志健康中心等單位同儕提供衛教資訊、篩檢服務及諮商，以及賦權（empower) , 早已被證實能大幅度提升性病在族群中的認知及篩檢率，因此，這也是各國普遍運用防止愛滋的措施之一。2.從匿篩服務個案研究更顯示，接受過同志健康中心資訊的朋友，比起從來沒聽過或不曾接受同志健康中心服務的朋友，其愛滋篩檢陽性比例較低（1.5% vs. 3.4%)，這顯示前往同志健康中心的朋友，在性行為時有較高的保險套使用率，以及較高的性病篩檢率。3.疾管署自2010年起設立推廣同志健康中心，就是希望能逐步改善安全性行為及愛滋性病篩檢率。105年提供超過6000人次篩檢服務及50場以上健康相關講座。同志健康中心在社區中已看見社區對健康中心的期待，也提供異性朋友健康諮詢、交友輔導、性病篩檢、壓力處理等諮商講座服務。2012年起，整體愛滋疫情上升趨勢趨緩。",2017/9/3,疾病管制署
愛滋病,網路謠傳，台灣愛滋病防治政策失效導致感染數從2000年至2016年持續上升？,我國從2000年起，愛滋疫情快速上升至2005年的3378例，主因是注射藥癮者共用針具或稀釋液，因推動藥癮愛滋減害計畫，包括衛生教育、清潔針具服務、美沙冬替代療法，使藥癮愛滋疫情迅速獲得控制，注射藥癮感染人數持續下降。之後則以不安全性行為為感染主因，本署除持續推動多元篩檢服務，並自2012年推動社群動員愛滋篩檢計畫，找出潛在感染者，才使疫情有增加趨勢。目前結合教育部等部會，共同推動相關預防教育措施，如宣導「愛滋病防治ABC原則」，A(Abstain)拒絕性誘惑、B(Be Faithful)忠實性伴侶、C(Condom)戴上保險套，及在家自我篩檢計畫、感染者診斷即刻服藥。期望在政府全方位及務實防治精神下，經由發現、預防、治療、教育各面向努力，讓整體疫情早日反轉。,2017/8/30,疾病管制署
愛滋病,網路謠傳，某教授拿政府經費宣傳網路約炮? ,近年隨著新媒體的普及，使許多年輕族群增加感染性傳染病的風險，因此本署對外委託研究，希望能多面向了解透過網路從事危險性行為的族群樣態，發展特定有效的愛滋病防治策略。 有關本署辦理委託科技研究計畫，每年均依當前重要傳染病（例如愛滋病、登革熱…）流行現況與防疫政策發展等需要，嚴謹研議及規劃審查研究重點後，再依政府採購法相關法令，以公開徵求及透過審查委員會(外聘3名、內派2名)審查方式，遴選出績優學術單位，執行本署委託計畫，且在執行過程中，亦依雙方所訂契約定期追蹤及管考，並於計畫結束時，參考採用其成果，做為本署政策訂定之重要依據，所以一切程序皆依相關規定公平公正公開處理，經得起各界檢視。,2017/8/28,疾病管制署
愛滋病,網路流傳疾管署的研究經費都用在研究男男性行為??,找出「問題背後的真正原因，對症下藥」，才是最重要的防治之道。本署執行愛滋病防治相關科技研究計畫，其研究族群、研究重點及經費，會依據我國疫情狀況進行調整。2004-2005年間，因爆發注射藥癮者愛滋感染疫情，之後幾年進行多項藥癮族群愛滋防治之相關研究，據以研訂因應策略及評估執行成效，因此使得疫情很快受到控制。而近幾年來均以「不安全性行為」為愛滋感染之主要途徑，因此將研究重點放在易感族群之防治策略及介入成效評估，並非在研究男男性行為。透過研究成果回饋至防治政策與介入措施，已使男男間不安全性行為有逐漸趨於平緩的趨勢。未來將持續透過研究，以發展更有效、更符合成本效益之防治策略。,2017/8/25,疾病管制署
愛滋病,網路謠傳，由於我國「性別平等教育法」於2004年6月23日開始實施，造成2004、2005、2006連續三年疫情大爆發，愛滋感染人數三級跳，由2003年的860人，大躍進到2004年的1520人；2005年3378人，達最高鋒，剛好是性平法實施的隔年。」這是真的嗎? ,"1、我國2004年和2005年間，愛滋疫情主因是注射藥癮者共用針具或稀釋液至感染人數迅速攀升，2005年新增通報感染3,378人，其中2,425（占72%）為注射藥癮者。2、我國自2005年推動藥癮愛滋減害計畫，包括衛生教育、清潔針具服務、美沙冬替代療法，使藥癮愛滋疫情迅速獲得控制，注射藥癮感染人數持續下降，近年來每年因注射藥癮感染愛滋通報人數已降至百人以下。3、台灣在此藥癮愛滋疫情的控制成效，亦獲得國際和聯合國愛滋病防治組織高度肯定。4、新聞稿-台灣愛滋減害成功經驗獲國際肯定",2017/8/17,疾病管制署
愛滋病,愛滋感染者若因其他因素(如盲腸炎開刀)而住院，其部分負擔是否應自行支付？?,若感染者當次住院之診斷為其他醫療問題，非愛滋病相關因素(如伺機性感染等)，本署不支付部分負擔，相關醫療費用及部分負擔依健保相關規定辦理。,2017/7/12,疾病管制署
愛滋病,網路上流傳，保險套無法預防愛滋病，是真的嗎？ ,1.目前已證實保險套可有效預防感染愛滋病，並降低感染性病的風險，但前提是必須全程正確使用。2.本署在網站上提供多種宣導素材(如單張、海報及多媒體等)，教導民眾如何正確使用保險套，在每一次發生性行為時，應全程帶上保險套，並依照「撕、捏、套、取、丟」的步驟正確使用，且為了避免保險套乳化破損，不可用油性潤滑液，應選水性潤滑液搭配使用，唯有落實安全性行為，才能預防感染愛滋病、降低感染性病的風險。,2017/6/9,疾病管制署
愛滋病,網路上流傳，愛滋病毒直徑僅120奈米，因病毒顆粒體積小，可穿透保險套而造成感染，是真的嗎？ ,1.依病毒體積大小來判斷是否可穿透保險套而造成感染，是錯誤的觀念。2.因為愛滋病毒本身不會自行移動，大多數情況下會依附在細胞上，並懸浮在精液(體液)內，若病毒脫離體液則不具活性，因此也不具傳染力。而品質合格之乳膠保險套是不會使體液外漏的，所以病毒顆粒也無法穿透保險套。,2017/6/9,疾病管制署
愛滋病,取消愛滋感染者入境管制？,由於愛滋醫療的進步，國際趨勢已將愛滋病毒感染視為慢性病，且愛滋病毒的傳染途徑特定，與個人之危險行為相關，因此不應以愛滋病毒感染為唯一理由，對非本國籍感染者入境及停留、居留進行管制。依此聯合國強烈譴責對感染者入境及停留、居留之管制之規定，依據聯合國愛滋病規劃署(UNAIDS)統計，104年9月前對感染者入境及停留、居留之管制調查，全球共計142個國家/地區無相關限制(http://www.unaids.org/en/resources/infographics/20120514_travel)，35個國家/地區有某些限制。近幾年來，美國、南韓及中國大陸等均已移除相關限制。故我國於104年2月4日亦已刪除相關限制之法令。此外，各國愛滋疫情與限制感染者入境管制無關。,2017/6/1,疾病管制署
愛滋病,男男同性戀愛滋感染占八成?,各個國家的愛滋病疫情會因風俗民情、社經狀況、醫療資源的普及與否等因素，而在感染族群及原因分布上會有所差異。依本署105年愛滋疫情資料，我國愛滋感染者中，感染危險因子確實以「男男間不安全性行為」最多，約占八成。然而疫情統計資料不是歧視用，是為了找出原因，以利研擬有效之防治策略。惟有以尊重、接納的態度，營造健康、友善的性別環境，民眾能獲得相關健康資訊與正確防治觀念，並早期接受篩檢及早治療，才能有效控制疫情。,2017/6/1,疾病管制署
愛滋病,外國同志假結婚真領藥?,1、105年3月開放外籍配偶納入我國愛滋公務預算照護，根據分析資料顯示，105年外籍人士感染愛滋之通報人數並無增加。2、由此可知，所謂同性婚姻合法化後，全世界同志都會來和台灣同志結婚，享受免費愛滋藥物，增加我國醫療支出等，實屬無稽之談。3、事實上，婚姻的成立與取得我國身分，需要多重步驟，國外許多先進國家，也以保險或公費提供愛滋治療，疫情也已獲控制。,2017/6/1,疾病管制署
愛滋病,開放男同性戀捐血，全民輸血感染愛滋風險提高?,我國於102年2月起針對捐血的血品全面施行核酸擴大檢驗(NAT)，已將檢驗空窗期由原舊有檢驗方式(西方墨點法)的21天縮短為11天，自實施NAT檢驗後迄今沒有發生輸血感染愛滋的案例。政策的修訂以維護用血者安全為首要考量，參考加拿大的經驗，該國修改男男間性行為者暫緩捐血也是由永久限制放寬為五年內無男男間性行為者開始，並監測因捐血發現的愛滋人數趨勢及評估對用血安全的衝擊。研究也證明，捐血限制之修改，讓男男間性行為者增加其在捐血面談時坦承檢視自身是否有捐血限制的行為，有助於降低血品傳播愛滋病的道德風險。政策修訂後，本署也將持續監測因捐血發現的感染愛滋人數有無增加情形，以評估未來本項政策要趨嚴或趨緩的參考，確保民眾用血安全。,2017/6/1,疾病管制署
愛滋病,網路上流傳「愛滋病是可以不藥而癒」，是真的嗎？,這是錯誤的喔！1.目前愛滋病毒感染仍無法治癒，感染者必須按時服藥才能控制病情。如果不接受治療，會增加伺機性感染或腫瘤併發症的機會，及早治療把病毒控制好，才能預防這些症狀的發生。2.提醒大家，如果曾從事危險性行為或擔心自己有可能得到愛滋，可以到愛滋病指定醫院或機構進行匿名篩檢，或利用在家愛滋唾液快速自我篩檢的方式檢驗，如證實感染後，請立即至醫院接受治療。,2017/3/30,疾病管制署
愛滋病,聽說有人因為摸鈔票後上廁所傳染愛滋或性病，請問是真的嗎？,這是錯誤的喔！1.愛滋病毒離開人體後，在環境中是無法生存，很快就會失去傳染力。2.所以不只鈔票，桌面、門把、馬桶蓋、衛生紙、吸管、衣服、公車座椅、捷運扶手等等，不論是被怎樣的人用過、摸過或碰過，都不會傳染愛滋病毒，而且愛滋病毒也無法在手指、手掌等皮膚表面生存喔！3.唯一要注意的是，明顯帶血的針具以及帶有生殖器分泌物的保險套、性玩具等物品，這些物品的材質和條件適合愛滋病毒殘存ㄧ小段時間，如果在短時間內重複使用，是有可能被傳染的喔！,2017/3/30,疾病管制署
愛滋病,網路上流傳泰國的水果罐頭、香蕉等食物裡頭有愛滋血，吃下去會感染愛滋，是真的嗎？ ,這是錯誤的喔！1.「食物裡頭含有愛滋血」純屬謠言。愛滋病毒無法生存在食物、飲料和餐具上。2.愛滋病毒傳染途徑主要有三種：不安全的性行為、血液交換以及母子垂直傳染。所以大家看到類似謠言，應制止，不要輕易相信，更不要再轉傳喔！,2017/3/30,疾病管制署
愛滋病,網路上流傳有人拿針頭在街上到處扎人傳播愛滋，被扎到了真的會得愛滋嗎？,1.不用太過於擔心，愛滋病毒是無法在針頭上存活很久，幾乎不會造成感染；除非是像醫護人員工作時不小心被針扎而暴露感染愛滋的血液或體液才可能感染，但感染的機率也是低於千分之3 ，而且只要在72小時之內，連續28天接受預防性投藥，就可以阻斷病毒在體內繁殖與感染。2.台灣執行預防性投藥的防治策略十多年來沒有發生失敗的案例，所以一定要把握治療的黃金時間72小時喔！ ,2017/3/30,疾病管制署
愛滋病,男男間不安全性行為感染愛滋比例較高，所以沒有男男間不安全性行為就不需要擔心得愛滋？,在不同地區，愛滋感染者的族群分佈比例並不相同，在亞太地區和中西非地區以異性戀感染者佔多數。台灣目前雖以男男間不安全性行為感染的通報人數較高，但不論同性戀或異性戀患者，若有不安全性行為，就應篩檢，以及早發現、及早治療。,2017/3/30,疾病管制署
愛滋病,網路上流傳「吃抗愛滋藥物的結果必死」，是真的嗎？ ,是錯誤的觀念。1.愛滋病毒感染者吃藥除了保護免疫系統、預防發病和死亡外，還能降低病毒量，避免傳染給別人。2.臨床研究顯示，自從有了「高效能抗愛滋病毒治療法」(俗稱雞尾酒療法)，愛滋病毒感染者只要規則服藥，體內病毒量受到良好控制，就可以減少發病和死亡的機率，其他感染和併發症的發生率也會降低，不僅生活品質獲得改善，平均餘命與一般人幾乎沒有差別喔！3.要特別提醒的是，一定要規律吃藥，以免產生抗藥性，而增加治療的困難。,2017/3/30,疾病管制署
愛滋病,與感染者接吻或接觸到愛滋病感染者的唾液、眼淚或汗水，也會感染愛滋病？,1.至今從未有透過唾液、眼淚或汗水接觸，而傳染愛滋病毒的案例。2.在一些愛滋感染者的唾液、眼淚當中，可以存在很少量的愛滋病毒。至於汗水，則從未發現過有愛滋病毒的存在。3.一般的親吻，不會傳染愛滋病毒。除非因為牙齦發炎或口腔潰瘍，又以法式舌吻(喇舌)而接觸到血液，才有可能傳染愛滋病毒唷(但與不安全性行為相比，透過親吻感染愛滋的機率非常低)。,2016/7/18,疾病管制署
愛滋病,蚊子叮咬「愛滋感染者」後再來叮我，會傳染愛滋病？ ,這是錯誤的喔！昆蟲叮咬不會傳染愛滋病毒。像是瘧疾、黃熱病、登革熱，都是藉由蚊子的唾液傳染，而愛滋病毒只能在昆蟲體內停留很短的時間，無法在昆蟲體內存活、繁殖，也不會感染昆蟲本身，所以昆蟲是無法透過叮咬傳染給人體喔。,2016/7/18,疾病管制署
愛滋病,愛滋會透過血液傳染，蚊子吸血是不會也會傳染愛滋？,這是錯誤的喔！昆蟲的口器表面殘留極微量血液不足以傳播病毒，而且昆蟲在吸血後會休息消化血液，不會在吸血後立即飛到下一個人體去叮咬，所以，無須擔心會透過昆蟲叮咬傳染愛滋病毒。,2016/5/24,疾病管制署
愛滋病,之前有發生愛滋患者咬傷人的事件，請問被咬到會感染愛滋嗎？,被咬的人接觸到的體液是咬人者（愛滋患者）的口水及口腔黏膜，因口水不會傳染愛滋病毒，只有口腔黏膜如有傷口、出血等特殊情況等可能傳染愛滋病毒，因此而受到愛滋感染的機率微乎其微。,2016/3/25,疾病管制署
新型A型流感,網路上流傳，有專家警告『新澳洲流感』將殺死3億人，蔓延到全世界各國，請問是真的嗎？?,這是錯誤的。該內容所指新澳洲流感病毒是由禽流感病毒變異而造成，是錯誤的，且至今澳洲並未出現網路上流傳的新澳洲流感。根據澳洲衛生部門資料顯示，目前澳洲並未出現新型流感病毒流行疫情，惟該國2017年流感季流感疫情較往年嚴重，主要流行病毒株為A/H3N2型。,2018/3/20,疾病管制署
新型A型流感,網路上流傳，現在有一種可怕的新澳洲流感可能即將爆發，「勤洗手和打噴嚏捂住嘴」這些措施也不足以應對，請問是真的嗎？?,流感病毒主要是透過飛沫傳染，民眾仍應注意個人衛生習慣、呼吸道衛生及咳嗽禮節，如平時養成勤洗手、有呼吸道症狀須戴口罩、生病在家休養等，這些習慣若能於平時養成，仍是有助於降低流感的傳播。另外對於可能由禽傳人的新型A型流感，除上述預防措施外，應遵守「5要6不」原則，且出國民眾於返國入境時如有發燒、咳嗽等類流感症狀，應主動告知航空公司人員及機場港口檢疫人員；返國後如出現上述症狀，應戴上口罩儘速就醫，並告知醫師接觸史及旅遊史。,2018/3/20,疾病管制署
新型A型流感,網路上流傳，未來如出現全球流行的新型流感病毒，對人類將有一定程度之威脅，會對我們造成影響嗎？?,我國因2003年因應SARS疫情的防疫經驗，自2004年起，即開始針對流感病毒變異造成全球大流行議題進行各項整備工作，且亦儲備有防疫物資以及建置傳染病防治醫療網等措施，以因應新型流感之流行。,2018/3/20,疾病管制署
腸病毒,吃冰或是冰的東西可以治療腸病毒嗎？,坊間有傳言吃冰或冰的東西可以治療腸病毒，其實這是不正確的觀念；腸病毒目前沒有特效藥物可以來治療，吃冰（含冰涼食品）只可以緩解小朋友嘴巴破的不舒服症狀，也可以幫小朋友補充一些水分。 ?請民眾不要誤信，大量吃冰無法治療腸病毒。,2016/5/16,疾病管制署
腸病毒,有新聞報導告訴大家不要用漂白水，可以改用小蘇打＋白醋＋肥皂水來消毒對抗腸病毒，請問這有醫學上的根據嗎？,針對腸病毒的環境消毒，目前還是建議以稀釋的漂白水來進行，因漂白水主要成分是次氯酸鈉，能使微生物的蛋白質變質，有效殺滅細菌、真菌及病毒，達到消毒的消果。由於漂白水會刺激黏膜、皮膚及呼吸道，建議調製或使用漂白水時要開窗，使空氣流通，使用時也請盡量佩戴口罩、手套等裝備。使用後也可以清水再進行擦拭，減少對人體產生的刺激。,2016/5/16,疾病管制署
腸病毒,市面上有許多商品都宣稱具有殺死腸病毒的功效，應該如何辨別？,目前坊間有某些產品宣稱有抑制或殺死腸病毒之功效，提醒民眾目前對於腸病毒有效的消毒方法為含氯漂白水、煮沸及日曬(紫外線)；建議民眾購買此類商品前應先檢視其相關檢驗報告中是否具其宣稱之抑制腸病毒效果。,2016/5/16,疾病管制署
腸病毒/病毒性腸胃炎/流感,聽說漂白水很毒，常用來洗衣消毒易致癌，請問是真的嗎？,1.漂白水之主要成分為次氯酸鈉，目前並無研究顯示漂白水與癌症有關聯性。2.以稀釋的漂白水清潔環境，能發揮消毒殺菌的效果，但是漂白水的氯氣揮發時，容易造成鼻子、喉嚨、眼睛不適，接觸皮膚容易有刺激性，建議使用時注意正確使用方式，適當稀釋，並且注意環境通風。3.其中使用漂白水時，要注意：宜選購生產日期較近，且不要過量儲存，以免影響其殺菌功能。配製和使用時，應在通風良好處，並使用口罩及橡膠手套以避免被噴濺到。稀釋漂白水應使用冷水，稀釋的漂白水須加蓋及避免陽光照射，未使用的部分在24小時之後應丟棄，避免消毒效果降低。如擦拭消毒時，接觸時間建議超過10分鐘；而浸泡消毒的接觸時間建議超過30分鐘，以確保消毒效果。最後漂白水的保存，應使用塑膠瓶盛裝長期盛裝5-6%漂白水，勿使用不透氣之玻璃瓶，以避免累積氣壓而爆炸。,2016/5/16,疾病管制署
